subject,subject_type,relation,object,object_type,confidence,provenance
24/7 Support,Feature,PROVIDES,Continuous Support,Capability,0.90,Page 40
Service Level Agreement,Feature,GUARANTEES,Service Quality,Capability,0.89,Page 40
Google Chrome,Browser,SUPPORTS,Desktop Access,Platform,0.88,Page 41
Microsoft Edge,Browser,SUPPORTS,Desktop Access,Platform,0.88,Page 41
Browser Zoom,Requirement,REQUIRES,100 Percent Scale,Constraint,0.90,Page 41
SAP Cloud Platform,Platform,HOSTS,SAP Analytics Cloud,Product,0.92,inferred
SAP Business Technology Platform,Platform,FOUNDATION_FOR,SAP Analytics Cloud,Product,0.91,Page 4
SAP BTP Neo Environment,Platform,DEPLOYMENT_OPTION,SAP Analytics Cloud,Product,0.88,Page 4
SAP BTP Cloud Foundry Environment,Platform,DEPLOYMENT_OPTION,SAP Analytics Cloud,Product,0.88,Page 4
Chart,WidgetType,DEPENDS_ON,Data Model,Concept,0.85,inferred
Table,WidgetType,DEPENDS_ON,Data Model,Concept,0.85,inferred
Story,Feature,USES,Model,Feature,0.90,inferred
Analytic Applications,Feature,USES,Model,Feature,0.90,inferred
Data Analyzer,Feature,QUERIES,Model,Feature,0.88,inferred
Planning,Feature,MODIFIES,Model,Feature,0.89,inferred
Smart Predict,Feature,ANALYZES,Dataset,Feature,0.87,inferred
Value Driver Trees,Feature,VISUALIZES,Model Data,Capability,0.86,inferred
Compass,Feature,SIMULATES,Model Scenarios,Capability,0.84,inferred
Calendar,Feature,SCHEDULES,Planning Activities,Capability,0.85,inferred
Translation,Feature,APPLIES_TO,Story,Feature,0.86,inferred
Translation,Feature,APPLIES_TO,Model,Feature,0.86,inferred
Security,Feature,PROTECTS,All Content,Capability,0.88,inferred
Connections,Feature,REQUIRED_BY,Model,Feature,0.87,inferred
Administration,Feature,CONFIGURES,All Features,Capability,0.85,inferred
Live Data Connection,ConnectionType,REQUIRES,Data Source Connection,Requirement,0.88,inferred
Import Data Connection,ConnectionType,CREATES,Local Copy,Concept,0.87,inferred
Story Designer,Role,CREATES,Story,Feature,0.90,inferred
Planner,Role,USES,Planning,Feature,0.89,inferred
Analyst,Role,USES,Data Analyzer,Feature,0.88,inferred
Administrator,Role,MANAGES,System,Capability,0.90,inferred
Viewer,Role,VIEWS,Content,Capability,0.85,inferred
Just Ask,Feature,USES,Natural Language Processing,Technology,0.85,inferred
Smart Discovery,Feature,USES,Machine Learning,Technology,0.86,inferred
Smart Insights,Feature,USES,Statistical Analysis,Technology,0.84,inferred
Smart Predict,Feature,REQUIRES,Training Data,Requirement,0.85,inferred
Predictive Scenarios,Feature,GENERATES,Predictions,Capability,0.87,inferred
Classification Model,PredictiveScenario,PREDICTS,Categories,Capability,0.86,inferred
Regression Model,PredictiveScenario,PREDICTS,Numeric Values,Capability,0.86,inferred
Time Series Model,PredictiveScenario,FORECASTS,Future Values,Capability,0.86,inferred
Story,Feature,EXPORTS_TO,PDF,FileType,0.87,Page 9
Story,Feature,EXPORTS_TO,PowerPoint,FileType,0.86,Page 9
Story,Feature,SHARES_VIA,Email,Channel,0.85,Page 9
Story,Feature,SHARES_VIA,URL,Channel,0.86,Page 9
Model,Feature,IMPORTS_FROM,Excel,DataSource,0.84,Page 16
Model,Feature,IMPORTS_FROM,CSV,DataSource,0.84,Page 16
Model,Feature,EXPORTS_TO,Excel,FileType,0.83,Page 17
Planning,Feature,SUPPORTS,Collaboration,Capability,0.86,Page 21
Data Action,Feature,AUTOMATES,Planning Tasks,Capability,0.85,Page 21
Allocation,Feature,DISTRIBUTES,Budget,Capability,0.84,Page 22
Calendar,Feature,ASSIGNS,Responsibilities,Capability,0.86,Page 24
Calendar,Feature,TRACKS,Progress,Capability,0.85,Page 24
Mobile App,Feature,SYNCHRONIZES,Cloud Data,Capability,0.88,Page 31
SAP Analytics Cloud,Product,INTEGRATES_WITH,SAP Datasphere,Product,0.87,Page 14
SAP Analytics Cloud,Product,INTEGRATES_WITH,SAP HANA,Product,0.88,Page 36
SAP Analytics Cloud,Product,INTEGRATES_WITH,SAP S/4 HANA,Product,0.87,Page 36
SAP Analytics Cloud,Product,INTEGRATES_WITH,SAP BW,Product,0.87,Page 36
SAP Analytics Cloud,Product,CONNECTS_TO,Google BigQuery,Product,0.84,Page 37
SAP Analytics Cloud,Product,CONNECTS_TO,Salesforce,Product,0.83,Page 37
